artist_name,artist_ID
Lily-Rose Depp,1pBLC0qVRTB5zVMuteQ9jJ
Zara Larsson,1Xylc3o4UrD53lo9CvFvVg
Gorillaz,3AA28KZvwAUcZuOKwyblJQ
Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj
Outkast,1G9G7WwrXka3Z1r7aIDjI7
Journey,0rvjqX7ttXeg3mTy8Xscbt
Clean Bandit,6MDME20pz9RveH9rEXvrOM
Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7
Maria Becerra,1DxLCyH42yaHKGK3cl5bvG
Vance Joy,10exVja0key0uqUkk6LJRT
Swedish House Mafia,1h6Cn3P4NGzXbaXidqURXs
Chris Stapleton,4YLtscXsxbVgi031ovDDdh
Richy Mitch & The Coal Miners,4qU7IJSReZnsLy5907Mtau
Tanishk Bagchi,4f7KfxeHq9BiylGmyXepGt
Ryan Lewis,4myTppRgh0rojLxx8RycOp
Udit Narayan,70B80Lwx2sxti0M1Ng9e8K
Sevdaliza,5MraexJKZDrQYzS98kNwie
ZAYN,5ZsFI1h6hIdQRw2ti0hz81
Junior H,7Gi6gjaWy3DxyilpF1a8Is
The Cranberries,7t0rwkOPGlDPEhaOcVtOt9
Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs
Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT
Vishal-Shekhar,6Mv8GjQa7LKUGCAqa9qqdb
The Goo Goo Dolls,2sil8z5kiy4r76CRTXxBCA
Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j
Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ
CYRIL,11kt6ggsdxvI8MhyeSMKom
Mark Ambor,11p2E654TTU8e0nZWBR4AL
d4vd,5y8tKLUfMvliMe8IKamR32
French Montana,6vXTefBL93Dj5IqAWq6OTv
The Script,3AQRLZ9PuTAozP28Skbq8V
Glass Animals,4yvcSjfu4PC0CYQyLy4wSq
Rvssian,1fctva4kpRbg2k3v7kwRuS
Tyla,3SozjO3Lat463tQICI9LcE
JID,6U3ybJ9UHNKEdsH7ktGBZ7
AFROJACK,4D75GcNG95ebPtNvoNVXhz
Amitabh Bhattacharya,2fMqTqiTxUDlmcOEPaQSsx
Arcángel,4SsVbpTthjScTS7U2hmr1X
Rema,46pWGuE3dSwY3bMMXGBvVS
Pabllo Vittar,6tzRZ39aZlNqlUzQlkuhDV
Labrinth,2feDdbD5araYcm6JhFHHw7
Elvis Presley,43ZHCT0cAZBISjO8DG9PnE
Plan B,2jSGzJw0ebJLu7OLVSOcBP
"Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg
Young Miko,3qsKSpcV3ncke3hw52JSMB
Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX
Mac Miller,4LLpKhyESsyAXpc4laK94U
Offset,4DdkRBBYG6Yk9Ka8tdJ9BW
Dr. Dre,6DPYiyq5kWVQS4RGwxzPC7
Disclosure,6nS5roXSAGhTGr34W6n7Et
Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax
