Artist,Listeners,Daily Trend,Peak,PkListeners
Vanessa Carlton,"5,559,877","287,256",1662,"6,386,682"
Freddie Dredd,"5,557,840","151,614",651,"10,375,038"
Caio Luccas,"5,557,259","256,457",1815,"5,854,560"
El Malilla,"5,556,685","151,565",1554,"6,890,084"
Capo Plaza,"5,550,497","117,906",1674,"5,835,486"
BM,"5,549,568","247,490",1083,"8,811,798"
Los Abuelos De La Nada,"5,548,158","308,654",2056,"5,548,158"
Papon,"5,547,834","283,435",2057,"5,547,834"
MC NAHARA,"5,544,249","135,789",1551,"6,852,536"
Turma do Pagode,"5,542,342","294,101",1524,"6,774,148"
Dj Victor,"5,539,778","249,372",2042,"5,539,778"
Alonzo,"5,539,371","310,832",1875,"5,692,989"
Miky Woodz,"5,535,971","224,188",1779,"6,041,232"
Mike WiLL Made-It,"5,535,928","230,843",1118,"8,130,359"
MC Davo,"5,529,793","257,079",1650,"6,251,929"
Hades66,"5,528,012","133,624",1340,"7,090,026"
SG Lewis,"5,527,291","263,774",1519,"7,030,840"
House Of Pain,"5,525,484","273,531",1872,"5,886,082"
Jerry Rivera,"5,520,131","276,190",1827,"5,810,724"
Valentín Elizalde,"5,519,264","265,147",1509,"6,905,596"
Alabama,"5,514,757","242,947",2014,"5,514,757"
Angus & Julia Stone,"5,511,138","280,355",1698,"6,265,122"
Sanjay Leela Bhansali,"5,510,791","257,462",1234,"7,529,143"
Ivy Queen,"5,509,629","261,667",1120,"8,638,673"
NUEKI,"5,508,169","238,078",1340,"7,152,763"
DannyLux,"5,506,460","196,475",1391,"6,834,950"
Tippu,"5,499,657","234,792",2037,"5,499,657"
Isadora Pompeo,"5,498,659","205,084",1558,"6,605,248"
Mabel Matiz,"5,497,862","209,784",1709,"5,719,246"
Yorushika,"5,495,384","200,492",1940,"5,595,740"
Nidji,"5,494,040","270,569",1702,"5,955,753"
The Human League,"5,487,655","294,252",1639,"6,517,810"
ODESZA,"5,487,649","254,844",1232,"6,960,738"
Johnny Nash,"5,486,546","244,401",2013,"5,507,056"
Luis Mexia,"5,483,673","199,828",1378,"6,219,575"
Bhavi,"5,477,905","199,996",1143,"8,832,935"
Takagi & Ketra,"5,475,842","172,035",1859,"5,577,771"
Nathan Evans,"5,472,904","243,595",1571,"6,470,712"
Pyotr Ilyich Tchaikovsky,"5,471,013","323,577",681,"12,265,707"
Cole Swindell,"5,469,275","225,204",1065,"8,270,647"
Dr. Dog,"5,468,983","229,950",1953,"5,691,346"
Steve Angello,"5,465,487","269,683",2024,"5,547,722"
For Revenge,"5,459,354","221,740",1795,"5,589,243"
Good Charlotte,"5,458,269","255,546",1563,"6,782,399"
Grupo Revelação,"5,457,737","308,714",1973,"5,457,737"
N.W.A.,"5,456,194","285,374",1558,"5,819,704"
Ghea Indrawari,"5,455,307","233,401",886,"9,641,695"
Heuss L'enfoiré,"5,451,481","203,507",1319,"7,118,046"
Lijo George-Dj Chetas,"5,449,967","276,956",2097,"5,449,967"
Travie McCoy,"5,449,670","363,165",1563,"5,961,970"
Alex Gargolas,"5,446,275","256,333",1956,"5,630,058"
Mariah Angeliq,"5,440,775","265,492",1153,"7,292,039"
Hillsong UNITED,"5,436,483","231,274",1641,"5,902,984"
Dayglow,"5,434,677","243,582",1335,"6,472,359"
Lou Reed,"5,429,259","296,543",2006,"5,564,297"
Hiten,"5,427,425","234,836",1551,"6,810,251"
Revol,"5,427,376","346,518",2106,"5,427,376"
OHGEESY,"5,425,921","187,832",1635,"6,556,038"
Ariel Camacho y Los Plebes Del Rancho,"5,422,973","211,615",1847,"5,807,448"
Skepta,"5,422,113","213,534",1465,"6,960,443"
Lil Jon & The East Side Boyz,"5,420,684","279,618",1705,"6,180,160"
HYBS,"5,420,255","205,230",1346,"7,654,400"
Mc Luki,"5,417,763","207,714",975,"9,620,064"
Mc Lipi,"5,415,367","220,027",1299,"7,701,395"
Jennifer Warnes,"5,414,450","298,025",1732,"5,752,717"
IU,"5,412,779","203,863",901,"8,805,240"
Pesado,"5,412,487","283,352",1156,"8,165,012"
Lauren Daigle,"5,410,476","250,343",1330,"7,194,174"
Gabb MC,"5,409,075","276,386",1382,"7,354,050"
White Gold,"5,407,919","-58,811",788,"11,764,975"
southstar,"5,407,750","226,974",1386,"6,611,447"
Phantogram,"5,407,189","263,030",1252,"6,704,724"
Mobb Deep,"5,406,790","241,157",1719,"5,436,857"
Maddix,"5,401,934","215,662",1829,"5,961,919"
Mufasa & Hypeman,"5,396,003","273,430",1417,"6,778,711"
raissa anggiani,"5,395,796","259,222",1365,"6,827,986"
Dexys Midnight Runners,"5,395,605","266,356",1820,"5,989,339"
Young Dolph,"5,395,435","207,525",1541,"6,649,397"
Bone Thugs-N-Harmony,"5,391,112","249,285",1254,"6,586,218"
Super Yei,"5,390,195","258,982",1886,"5,813,325"
Dewa,"5,387,473","266,662",1800,"5,595,466"
PSY,"5,386,948","275,287",1429,"5,919,444"
Chitãozinho & Xororó,"5,381,920","341,975",1611,"6,439,152"
DELLAFUENTE,"5,380,529","196,245",1596,"6,400,723"
Gaab,"5,378,573","243,281",1517,"5,910,536"
Jamie Miller,"5,377,198","273,575",1288,"7,017,011"
Emmit Fenn,"5,376,073","238,621",2096,"5,376,073"
Westlife,"5,373,283","244,498",1466,"5,880,391"
Greeicy,"5,369,728","219,935",1283,"6,839,232"
Ana Mena,"5,367,938","235,675",1461,"6,750,991"
Tom Grennan,"5,364,616","291,685",632,"10,804,758"
T3R Elemento,"5,362,576","209,153",1787,"5,378,377"
Cuco,"5,361,970","226,575",1346,"6,374,023"
Vundabar,"5,361,615","237,609",1723,"5,837,571"
Dylan Gossett,"5,350,286","184,430",1600,"6,564,202"
Martin Solveig,"5,345,929","243,940",1465,"6,162,897"
SXID,"5,343,925","276,299",2146,"5,343,925"
Abel Balder,"5,342,892","231,984",2029,"5,474,693"
Amanda Seyfried,"5,340,391","214,597",2014,"5,452,644"
Antonio Vivaldi,"5,339,828","284,852",1549,"6,601,144"
La Mosca Tse-Tse,"5,339,623","234,945",1708,"6,319,822"
Joost,"5,338,411","151,740",715,"12,345,837"
Matoma,"5,337,161","267,924",1061,"7,558,271"
JT,"5,335,734","182,276",1300,"7,283,189"
Don Henley,"5,334,924","268,944",1657,"6,129,075"
Mondello'G,"5,334,045","198,004",1399,"7,532,746"
Madan Mohan,"5,333,688","327,566",1869,"5,903,897"
Seal,"5,333,029","304,437",1697,"6,219,877"
Anna Kendrick,"5,327,059","278,373",1208,"8,176,457"
Ben&Ben,"5,324,775","218,819",1694,"6,129,561"
GAYLE,"5,324,699","257,880",545,"12,635,740"
Rodney Atkins,"5,323,963","259,080",1799,"6,098,670"
9lives,"5,323,877","171,515",1396,"6,825,817"
Naughty Boy,"5,321,458","333,062",1937,"5,321,458"
Mc Magrinho,"5,321,147","220,797",1288,"7,681,537"
Grupo Mojado,"5,316,677","301,394",1874,"5,771,560"
AnnenMayKantereit,"5,314,556","228,202",1380,"6,211,064"
Mustafa Zahid,"5,314,539","214,229",1729,"5,793,410"
Hande Yener,"5,313,331","167,800",1843,"5,935,860"
Rizky Febian,"5,308,241","190,182",1604,"6,733,283"
Josh Turner,"5,307,039","280,238",1778,"6,028,032"
Safri Duo,"5,305,137","249,227",1829,"5,753,628"
RXDXVIL,"5,304,857","236,051",1457,"6,550,621"
Nusrat Fateh Ali Khan,"5,297,856","245,341",974,"8,981,853"
KeBlack,"5,293,722","160,926",2065,"5,371,292"
Bappi Lahiri,"5,275,181","281,631",1923,"5,634,468"
Antonio Aguilar,"5,274,373","276,239",2106,"5,291,525"
Billy Ocean,"5,270,707","234,161",1497,"7,084,011"
Diego Verdaguer,"5,270,301","250,419",1906,"5,270,301"
Marca MP,"5,269,263","216,344",936,"8,788,069"
Baby Rasta,"5,268,400","228,454",609,"10,986,033"
Ami Mishra,"5,267,749","222,293",1955,"5,554,771"
Bread,"5,267,256","231,704",2182,"5,267,256"
Gur Sidhu,"5,266,379","221,757",1701,"5,810,998"
Alex Gaudino,"5,253,534","208,630",1832,"5,941,546"
Maverick Sabre,"5,253,360","263,198",2081,"5,393,905"
Billy Currington,"5,253,004","216,658",1531,"6,254,418"
Dopamine,"5,249,663","273,591",1410,"6,442,156"
Lary Over,"5,249,468","223,395",1925,"5,639,719"
Alexis y Fido,"5,248,344","249,872",2048,"5,256,274"
Leonardo Aguilar,"5,244,862","116,224",1683,"6,405,997"
Michael Sembello,"5,242,027","278,607",1736,"6,077,757"
LeAnn Rimes,"5,241,138","296,028",2084,"5,241,138"
Auli'i Cravalho,"5,241,138","261,200",1784,"5,759,140"
Extreme,"5,235,080","293,463",1696,"5,432,537"
Ajaxx,"5,233,167","187,250",1224,"6,928,166"
Reynmen,"5,232,579","166,340",1678,"6,482,268"
Naps,"5,228,033","220,135",1655,"5,862,526"
La Santa Grifa,"5,226,278","169,306",1928,"5,264,486"
LIZOT,"5,226,132","215,953",1651,"6,493,557"
The Turtles,"5,224,090","269,246",2200,"5,224,090"
Carly Simon,"5,223,944","295,913",1483,"6,304,383"
Abraham Mateo,"5,221,760","179,950",1335,"6,846,225"
Haley Reinhart,"5,221,033","274,177",1600,"5,869,986"
Ghali,"5,219,000","151,625",1488,"6,955,444"
Natalie Cole,"5,215,813","278,457",1675,"6,323,779"
Werenoi,"5,213,213","151,549",1749,"6,128,336"
Yung Gravy,"5,213,069","186,885",992,"7,845,433"
Ammy Virk,"5,212,059","258,807",1632,"5,896,835"
No Te Va Gustar,"5,211,195","191,973",2168,"5,259,797"
Joyner Lucas,"5,210,331","198,829",994,"8,137,459"
Lauren Spencer Smith,"5,200,736","190,028",904,"9,427,721"
Jacquees,"5,200,165","218,930",1629,"6,108,361"
Boy Wonder CF,"5,198,173","251,644",1708,"6,342,253"
Fernando & Sorocaba,"5,197,462","231,470",1458,"7,056,951"
Annalisa,"5,197,035","178,363",1636,"6,426,517"
ANAVITÓRIA,"5,195,900","200,740",2027,"5,195,900"
Chaka Khan,"5,192,499","268,201",1529,"6,973,917"
Travis Tritt,"5,186,997","312,622",2218,"5,186,997"
Gurnazar,"5,185,731","349,415",2219,"5,185,731"
Gminxr,"5,185,029","275,211",1126,"8,053,631"
Fools Garden,"5,179,845","243,184",2150,"5,308,788"
Mareux,"5,178,867","268,503",1486,"5,801,197"
DJ JOAO DA INESTAN,"5,175,661","204,185",1366,"7,615,635"
mxmtoon,"5,173,436","231,965",1849,"5,605,590"
AMUSIK,"5,170,246","168,746",2139,"5,210,619"
Laura Branigan,"5,169,139","257,876",1931,"5,616,830"
Chelsea Cutler,"5,169,001","246,607",968,"8,088,113"
Up Dharma Down,"5,164,997","263,614",2173,"5,184,467"
Migrantes,"5,162,382","257,871",428,"14,283,705"
The Chicks,"5,158,404","236,054",1753,"5,594,264"
Jamie Foxx,"5,156,626","238,081",1751,"5,602,271"
Edwin Luna y La Trakalosa de Monterrey,"5,155,669","230,172",1751,"6,013,537"
$NOT,"5,149,134","183,371",890,"8,404,075"
Shirin David,"5,143,989","246,062",2234,"5,143,989"
CRO,"5,142,235","197,419",1567,"6,167,724"
Los Socios Del Ritmo,"5,142,235","272,704",2080,"5,338,184"
Donna Summer,"5,137,661","283,556",1577,"6,062,032"
deadmau5,"5,137,258","198,481",1302,"6,583,562"
AUR,"5,135,381","207,826",1002,"9,236,114"
yatashigang,"5,135,113","216,538",1508,"6,646,720"
Josh Meloy,"5,134,980","173,896",2060,"5,421,293"
Djavan,"5,131,370","281,191",2213,"5,131,370"
emmanuellcortess_,"5,130,703","226,680",2219,"5,130,703"
Rio Romeo,"5,124,189","161,584",1270,"7,676,248"
Alice Cooper,"5,113,640","246,040",1415,"6,556,165"
CeeLo Green,"5,111,805","298,001",967,"9,608,421"
Matt Hansen,"5,111,281","261,299",1534,"6,819,799"
Sinéad O'Connor,"5,108,275","253,958",939,"9,208,047"
Franglish,"5,108,144","167,969",2075,"5,406,165"
Dyan Dxddy,"5,107,492","230,552",2073,"5,380,519"
Lucenzo,"5,107,231","286,169",2135,"5,269,601"
Xavier Wulf,"5,104,626","133,874",1890,"5,727,884"
Madcon,"5,104,106","230,788",1804,"5,649,599"
Stardust,"5,102,806","298,191",2254,"5,102,806"
Armani White,"5,100,083","223,560",790,"9,169,180"
Zeeba,"5,100,083","268,583",1860,"5,744,264"
Punctual,"5,099,565","223,174",1884,"5,200,308"
Speed Radio,"5,094,786","240,252",1054,"8,444,375"
Take That,"5,093,241","236,455",1585,"6,456,209"
t.A.T.u.,"5,093,112","231,036",1884,"5,264,741"
Dj GBR,"5,092,855","224,995",836,"10,859,295"
Dj Samir,"5,091,955","214,526",2010,"5,495,413"
John Williams,"5,087,467","270,169",246,"24,161,418"
Shiraz Uppal,"5,085,293","280,275",1842,"5,292,492"
Sam Tinnesz,"5,084,017","255,090",1969,"5,260,307"
Aastha Gill,"5,081,596","323,393",1555,"6,157,404"
Money Man,"5,080,706","248,432",1414,"6,607,259"
Tyler Hubbard,"5,073,862","185,558",1488,"6,415,587"
José Luis Perales,"5,068,696","278,926",2242,"5,068,696"
Kapil Kapilan,"5,066,311","242,815",1811,"5,736,513"
Angèle,"5,065,684","245,060",1404,"6,042,394"
vtze archive,"5,064,932","173,457",2103,"5,325,551"
Lloyd,"5,060,682","263,423",2017,"5,355,193"
